local_authority_name,count_date,all_motor_vehicles
Kirklees,19/06/2000,1032
Kirklees,19/06/2000,669
Kirklees,19/06/2000,1051
Kirklees,19/06/2000,964
Kirklees,19/06/2000,841
Kirklees,19/06/2000,937
Kirklees,19/06/2000,1020
Kirklees,19/06/2000,946
Kirklees,19/06/2000,957
Kirklees,19/06/2000,910
Kirklees,19/06/2000,1191
Kirklees,19/06/2000,1071
Kirklees,19/06/2000,721
Kirklees,04/04/2000,20
Kirklees,04/04/2000,13
Kirklees,04/04/2000,13
Kirklees,04/04/2000,8
Kirklees,04/04/2000,15
Kirklees,04/04/2000,13
Kirklees,04/04/2000,8
Kirklees,04/04/2000,2
Kirklees,04/04/2000,13
Kirklees,04/04/2000,11
Kirklees,04/04/2000,12
Kirklees,04/04/2000,8
Kirklees,04/04/2000,6
Kirklees,04/04/2000,17
Kirklees,04/04/2000,7
Kirklees,04/04/2000,11
Kirklees,04/04/2000,24
Kirklees,04/04/2000,19
Kirklees,04/04/2000,13
Kirklees,04/04/2000,8
Kirklees,04/04/2000,12
Kirklees,04/04/2000,12
Kirklees,04/04/2000,14
Kirklees,04/04/2000,14
Kirklees,04/10/2000,193
Kirklees,04/10/2000,266
Kirklees,04/10/2000,233
Kirklees,04/10/2000,219
Kirklees,04/10/2000,150
Kirklees,04/10/2000,149
Kirklees,04/10/2000,118
Kirklees,04/10/2000,155
Kirklees,04/10/2000,244
Kirklees,04/10/2000,250
Kirklees,04/10/2000,187
Kirklees,04/10/2000,218
Kirklees,04/10/2000,117
Kirklees,04/10/2000,241
Kirklees,04/10/2000,197
Kirklees,04/10/2000,138
Kirklees,04/10/2000,144
Kirklees,04/10/2000,178
Kirklees,04/10/2000,159
Kirklees,04/10/2000,179
Kirklees,04/10/2000,247
Kirklees,04/10/2000,242
Kirklees,04/10/2000,220
Kirklees,04/10/2000,210
Kirklees,11/04/2000,74
Kirklees,11/04/2000,138
Kirklees,11/04/2000,99
Kirklees,11/04/2000,141
Kirklees,11/04/2000,144
Kirklees,11/04/2000,192
Kirklees,11/04/2000,152
Kirklees,11/04/2000,189
Kirklees,11/04/2000,214
Kirklees,11/04/2000,337
Kirklees,11/04/2000,562
Kirklees,11/04/2000,255
Kirklees,11/04/2000,381
Kirklees,11/04/2000,496
Kirklees,11/04/2000,280
Kirklees,11/04/2000,181
Kirklees,11/04/2000,168
Kirklees,11/04/2000,163
Kirklees,11/04/2000,187
Kirklees,11/04/2000,149
Kirklees,11/04/2000,207
Kirklees,11/04/2000,217
Kirklees,11/04/2000,215
Kirklees,11/04/2000,182
Kirklees,06/07/2000,42
Kirklees,06/07/2000,83
Kirklees,06/07/2000,48
Kirklees,06/07/2000,64
Kirklees,06/07/2000,27
Kirklees,06/07/2000,35
Kirklees,06/07/2000,53
Kirklees,06/07/2000,43
Kirklees,06/07/2000,51
Kirklees,06/07/2000,53
Kirklees,06/07/2000,103
Kirklees,06/07/2000,69
